interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;120.00;2min_agg;1;1.22;0;3;-131361937;0;0;1.22;0;0.59;20.12;37.05;12.83;5.22;19.77;0.00
0.00;120.00;2min_agg;0;10.61;0;9;-343227268;0;0;5.30;9;2.54;9.92;89.25;7.57;65.00;9.21;38.00
0.00;120.00;2min_agg;0;122.88;0;3;-498573406#1;0;0;122.88;3;2.36;0.98;2.95;5.29;0.52;0.04;0.00
0.00;120.00;2min_agg;0;7.11;7;0;-607902629#1;0;0;7.11;6;3.48;22.56;142.48;7.62;91.69;21.42;34.00
0.00;120.00;2min_agg;0;3.15;4;0;-775228304;0;0;3.15;4;1.55;10.15;38.66;10.57;20.03;9.90;0.00
0.00;120.00;2min_agg;0;5.26;4;4;-775228305;0;0;5.26;7;2.54;6.15;44.39;12.26;21.57;5.86;0.00
0.00;120.00;2min_agg;0;86.58;0;1;107270959#10;1;1;28.86;1;0.47;2.08;2.08;2.50;1.33;0.50;0.00
0.00;120.00;2min_agg;0;22.69;41;0;107270959#6;31;31;7.56;36;3.76;14.81;550.63;13.99;269.83;14.61;0.00
0.00;120.00;2min_agg;0;45.61;0;36;107270959#7;2;2;15.20;22;7.52;34.59;1155.86;6.25;886.53;33.76;641.00
0.00;120.00;2min_agg;11;5.14;0;17;107270959#9;0;0;1.71;1;0.83;13.41;175.77;21.63;35.17;13.19;0.00
0.00;120.00;2min_agg;0;15.00;14;0;131361937;0;0;15.00;8;7.45;37.42;455.33;6.89;228.91;36.64;125.00
0.00;120.00;2min_agg;0;0.90;0;3;131361940#1;0;0;0.45;2;0.22;21.43;43.13;18.81;12.23;20.73;0.00
0.00;120.00;2min_agg;0;2.30;0;5;140621781#0;0;0;2.30;5;1.12;15.68;78.40;18.45;14.13;15.45;0.00
0.00;120.00;2min_agg;5;1.96;0;5;140621781#1;0;0;1.96;0;0.96;9.40;47.01;21.80;1.47;9.17;0.00
0.00;120.00;2min_agg;0;22.66;0;7;230894418#0;0;0;11.33;6;5.45;12.43;83.71;2.88;74.11;11.55;56.00
0.00;120.00;2min_agg;0;3.68;0;4;230894418#2;1;1;1.84;4;0.87;10.74;42.94;9.53;27.77;9.82;12.00
0.00;120.00;2min_agg;0;8.52;0;12;27318402#0;0;0;2.84;11;1.27;4.07;47.32;12.58;26.63;3.77;0.00
0.00;120.00;2min_agg;0;8.61;0;13;27318402#0.49;0;0;2.15;12;0.75;0.98;12.08;17.07;4.96;0.70;0.00
0.00;120.00;2min_agg;10;3.94;0;12;27318402#0.62;0;0;1.31;0;0.64;7.92;91.65;25.10;12.40;7.74;0.00
0.00;120.00;2min_agg;0;1.69;0;2;27318402#5;2;2;0.56;2;0.22;1.77;3.55;12.69;1.94;1.43;0.00
0.00;120.00;2min_agg;0;0.96;0;2;27318402#6;0;0;0.32;2;0.14;2.39;4.79;19.38;1.46;2.16;0.00
0.00;120.00;2min_agg;0;0.64;0;2;27318402#7;0;0;0.32;2;0.16;9.33;18.66;26.70;0.82;9.14;0.00
0.00;120.00;2min_agg;2;0.67;0;2;27318402#8;0;0;0.34;0;0.15;1.90;3.79;27.49;0.06;1.72;0.00
0.00;120.00;2min_agg;0;18.90;28;0;29027962#0;23;23;6.30;23;3.09;21.22;519.66;11.03;307.13;20.34;42.00
0.00;120.00;2min_agg;0;4.36;0;11;29027962#1;0;0;1.45;11;0.70;8.83;97.10;21.57;21.38;8.64;0.00
0.00;120.00;2min_agg;0;3.80;0;11;29027962#2;0;0;1.27;11;0.58;2.10;23.07;26.53;0.94;1.91;0.00
0.00;120.00;2min_agg;0;3.92;0;11;29027962#3;1;1;1.31;11;0.62;3.89;42.75;24.65;4.65;3.63;0.00
0.00;120.00;2min_agg;0;24.11;0;11;29027962#4;2;2;8.04;7;3.90;16.06;164.56;3.85;141.28;14.94;81.00
0.00;120.00;2min_agg;10;4.09;0;13;29027962#6;1;1;1.36;0;0.67;21.50;227.52;21.79;46.30;21.30;0.00
0.00;120.00;2min_agg;0;10.55;21;0;331158296#0;16;16;3.52;19;1.74;16.94;324.18;15.42;147.14;16.68;0.00
0.00;120.00;2min_agg;0;50.79;0;19;331158296#0.267;2;2;16.93;19;8.31;20.90;397.17;3.36;348.86;20.34;255.00
0.00;120.00;2min_agg;0;11.99;0;18;331158296#1;7;7;4.00;12;1.93;12.15;188.63;11.20;110.45;11.50;45.00
0.00;120.00;2min_agg;0;2.74;0;7;331158296#2;0;0;0.91;7;0.42;2.90;20.33;23.01;3.50;2.70;0.00
0.00;120.00;2min_agg;0;2.41;0;7;331158296#2.100;3;3;0.60;6;0.26;1.68;10.55;24.63;1.08;1.47;0.00
0.00;120.00;2min_agg;0;6.98;0;5;331158296#2.118;1;1;1.75;3;0.84;11.78;49.85;5.48;38.21;10.84;27.00
0.00;120.00;2min_agg;0;14.41;0;22;331158298;0;0;4.80;20;2.19;5.55;112.02;12.58;61.23;5.26;0.00
0.00;120.00;2min_agg;0;17.83;0;20;331158298.105;4;4;5.94;19;2.87;12.38;236.90;9.34;154.17;11.70;77.00
0.00;120.00;2min_agg;0;4.26;0;5;331159362#1;0;0;1.42;5;0.56;1.95;9.74;12.34;5.62;1.60;0.00
0.00;120.00;2min_agg;0;3.77;0;5;331159362#2;0;0;1.26;5;0.41;0.82;4.12;17.12;1.70;0.54;0.00
0.00;120.00;2min_agg;4;1.48;0;5;331159362#3;0;0;0.74;0;0.36;8.57;37.15;25.07;5.63;8.39;0.00
0.00;120.00;2min_agg;0;2.13;0;5;331159363#1;3;3;0.53;5;0.25;6.95;34.74;20.30;11.16;6.76;0.00
0.00;120.00;2min_agg;0;1.51;0;5;331159364#0;0;0;0.50;5;0.24;5.78;28.90;28.48;1.38;5.61;0.00
0.00;120.00;2min_agg;0;2.75;0;7;331159364#1;0;0;1.37;7;0.64;3.64;25.48;22.62;5.48;3.45;0.00
0.00;120.00;2min_agg;6;1.86;0;7;331159364#2;0;0;0.62;0;0.31;18.04;111.84;28.10;3.24;17.86;0.00
0.00;120.00;2min_agg;0;34.55;0;28;331159364#2.1476;3;3;11.52;21;5.45;9.20;226.29;6.47;161.82;8.41;55.00
0.00;120.00;2min_agg;0;14.78;47;0;331159364#2.526;23;23;4.93;30;2.46;44.89;1675.28;21.15;395.07;44.58;0.00
0.00;120.00;2min_agg;0;5.03;0;5;331159366#1;0;0;1.68;5;0.52;0.86;4.32;14.08;1.69;0.48;0.00
0.00;120.00;2min_agg;0;24.79;0;26;331159366#2;2;2;8.26;26;3.50;3.46;90.07;10.18;50.86;2.97;0.00
0.00;120.00;2min_agg;0;20.01;0;16;331159366#3;0;0;6.67;15;1.42;0.60;9.22;14.65;2.65;0.28;0.00
0.00;120.00;2min_agg;0;24.47;0;34;331159366#4;13;13;8.16;31;3.66;4.93;158.34;11.94;80.32;4.43;0.00
