interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;120.00;2min_agg;2;1.27;0;2;-131361937;0;0;1.27;0;0.62;19.29;38.58;13.38;4.48;18.95;0.00
0.00;120.00;2min_agg;0;10.12;0;9;-343227268;0;0;5.06;9;2.42;9.46;85.14;7.94;60.62;8.76;32.00
0.00;120.00;2min_agg;0;110.29;0;3;-498573406#1;0;0;110.29;3;2.12;0.88;2.65;5.89;0.21;0.03;0.00
0.00;120.00;2min_agg;0;7.92;7;0;-607902629#1;0;0;7.92;6;3.88;25.20;158.74;6.83;105.36;23.99;44.00
0.00;120.00;2min_agg;0;3.20;4;0;-775228304;0;0;3.20;4;1.58;10.30;39.23;10.42;20.89;10.05;0.00
0.00;120.00;2min_agg;0;5.27;4;4;-775228305;0;0;5.27;7;2.54;6.20;44.50;12.16;21.87;5.91;0.00
0.00;120.00;2min_agg;0;22.65;41;0;107270959#6;32;32;7.55;36;3.75;14.88;549.57;13.93;266.88;14.68;0.00
0.00;120.00;2min_agg;0;44.31;0;36;107270959#7;4;4;14.77;23;7.30;33.68;1122.84;6.42;850.68;32.88;637.00
0.00;120.00;2min_agg;12;5.77;0;21;107270959#9;0;0;1.92;0;0.94;12.75;197.29;22.75;33.86;12.55;0.00
0.00;120.00;2min_agg;0;21.42;20;0;131361937;0;0;21.42;17;10.64;35.87;650.28;7.19;316.66;35.36;167.00
0.00;120.00;2min_agg;0;1.38;0;3;131361940#1;0;0;0.69;3;0.33;22.04;66.13;18.29;19.91;21.30;0.00
0.00;120.00;2min_agg;0;2.25;0;5;140621781#0;0;0;2.25;5;1.09;15.34;76.71;18.85;14.35;15.12;0.00
0.00;120.00;2min_agg;5;1.88;0;5;140621781#1;0;0;1.88;0;0.92;9.07;45.10;22.59;1.15;8.85;0.00
0.00;120.00;2min_agg;0;22.48;0;7;230894418#0;0;0;11.24;6;5.41;12.24;83.04;2.92;73.13;11.37;55.00
0.00;120.00;2min_agg;0;3.81;0;4;230894418#2;1;1;1.91;4;0.91;11.12;44.48;9.20;29.64;10.27;14.00
0.00;120.00;2min_agg;0;9.05;0;13;27318402#0;0;0;3.02;12;1.34;4.13;49.58;12.27;27.75;3.82;0.00
0.00;120.00;2min_agg;0;9.50;0;14;27318402#0.49;0;0;2.38;14;0.83;0.95;13.34;17.52;5.09;0.68;0.00
0.00;120.00;2min_agg;11;4.14;0;14;27318402#0.62;0;0;1.38;0;0.67;8.00;96.41;24.86;12.32;7.82;0.00
0.00;120.00;2min_agg;0;1.76;0;2;27318402#5;2;2;0.59;2;0.23;1.85;3.71;12.14;2.07;1.49;0.00
0.00;120.00;2min_agg;0;1.03;0;2;27318402#6;0;0;0.34;2;0.15;2.56;5.13;18.10;1.76;2.31;0.00
0.00;120.00;2min_agg;0;0.66;0;2;27318402#7;0;0;0.33;2;0.16;9.61;19.23;25.91;1.13;9.43;0.00
0.00;120.00;2min_agg;2;0.69;0;2;27318402#8;0;0;0.35;0;0.16;1.96;3.92;26.60;0.13;1.77;0.00
0.00;120.00;2min_agg;0;20.07;28;0;29027962#0;25;25;6.69;21;3.30;22.12;551.70;10.58;338.98;21.41;67.00
0.00;120.00;2min_agg;0;4.79;0;12;29027962#1;0;0;1.60;12;0.77;8.89;106.64;21.42;24.78;8.70;0.00
0.00;120.00;2min_agg;0;4.15;0;12;29027962#2;0;0;1.38;12;0.63;2.10;25.23;26.46;1.31;1.91;0.00
0.00;120.00;2min_agg;0;4.11;0;12;29027962#3;1;1;1.37;11;0.65;3.88;44.81;24.68;5.46;3.63;0.00
0.00;120.00;2min_agg;0;23.87;0;11;29027962#4;1;1;7.96;6;3.88;16.05;162.90;3.86;140.74;14.97;88.00
0.00;120.00;2min_agg;10;4.26;0;13;29027962#6;4;4;1.42;0;0.70;21.36;236.96;21.93;52.66;21.16;0.00
0.00;120.00;2min_agg;0;10.52;21;0;331158296#0;10;10;3.51;19;1.74;16.88;323.40;15.47;143.92;16.63;0.00
0.00;120.00;2min_agg;0;46.17;0;19;331158296#0.267;2;2;15.39;16;7.54;19.38;361.09;3.62;313.03;18.63;212.00
0.00;120.00;2min_agg;0;28.06;0;15;331158296#1;4;4;9.35;6;4.63;32.82;441.28;4.15;375.16;31.73;287.00
0.00;120.00;2min_agg;0;2.61;0;5;331158296#2;2;2;0.87;5;0.40;3.88;19.38;17.24;6.77;3.64;0.00
0.00;120.00;2min_agg;0;2.13;0;5;331158296#2.100;3;3;0.53;5;0.23;1.86;9.31;22.27;1.48;1.65;0.00
0.00;120.00;2min_agg;0;4.88;0;5;331158296#2.118;1;1;1.22;5;0.56;6.92;34.58;9.25;20.21;5.79;4.00
0.00;120.00;2min_agg;0;16.15;0;24;331158298;11;11;5.38;22;2.46;5.53;125.00;12.58;69.86;5.24;0.00
0.00;120.00;2min_agg;0;29.45;0;21;331158298.105;6;6;9.82;11;4.81;20.15;391.23;5.74;310.37;19.20;163.00
0.00;120.00;2min_agg;0;4.05;0;5;331159362#1;0;0;1.35;5;0.53;1.85;9.24;13.00;5.06;1.51;0.00
0.00;120.00;2min_agg;0;3.72;0;5;331159362#2;0;0;1.24;5;0.40;0.81;4.06;17.37;1.60;0.53;0.00
0.00;120.00;2min_agg;4;1.52;0;5;331159362#3;0;0;0.76;0;0.37;8.61;38.23;24.95;5.20;8.43;0.00
0.00;120.00;2min_agg;0;2.20;0;5;331159363#1;3;3;0.55;5;0.26;7.17;35.84;19.68;10.75;6.97;0.00
0.00;120.00;2min_agg;0;1.59;0;5;331159364#0;0;0;0.53;5;0.26;6.09;30.45;27.02;1.17;5.91;0.00
0.00;120.00;2min_agg;0;2.91;0;7;331159364#1;0;0;1.46;7;0.68;3.86;27.01;21.34;6.30;3.65;0.00
0.00;120.00;2min_agg;5;1.89;0;7;331159364#2;0;0;0.63;0;0.31;18.93;113.69;26.77;3.60;18.75;0.00
0.00;120.00;2min_agg;0;28.80;0;28;331159364#2.1476;7;7;9.60;27;4.41;6.92;187.89;8.58;113.67;6.03;15.00
0.00;120.00;2min_agg;0;14.51;47;0;331159364#2.526;17;17;4.84;30;2.41;44.44;1645.17;21.37;371.85;44.15;0.00
0.00;120.00;2min_agg;0;5.51;0;7;331159366#1;1;1;1.84;7;0.51;0.63;4.15;17.84;1.41;0.34;0.00
0.00;120.00;2min_agg;0;23.39;0;28;331159366#2;3;3;7.80;25;3.29;3.32;84.97;10.64;46.79;2.81;0.00
0.00;120.00;2min_agg;0;18.77;0;14;331159366#3;3;3;6.26;14;1.26;0.55;7.63;15.39;2.82;0.22;0.00
0.00;120.00;2min_agg;0;28.73;0;41;331159366#4;13;13;9.58;38;4.30;4.72;185.87;12.48;92.14;4.27;0.00
0.00;120.00;2min_agg;0;15.64;0;20;331159366#5;3;3;5.21;19;1.69;0.92;17.38;15.52;3.82;0.59;0.00
0.00;120.00;2min_agg;0;34.30;0;42;331159366#6;11;11;11.43;40;5.00;3.95;161.50;11.19;80.32;3.42;0.00
0.00;120.00;2min_agg;0;26.86;0;15;331159366#7;0;0;8.95;15;1.06;0.37;5.00;17.70;1.13;0.09;0.00
0.00;120.00;2min_agg;0;12.78;0;20;331159366#8;11;11;4.26;20;1.94;4.77;95.42;14.09;40.24;4.29;0.00
0.00;120.00;2min_agg;2;14.15;44;3;331159372#0;20;20;7.08;27;3.53;50.82;1846.97;21.50;386.35;50.61;0.00
0.00;120.00;2min_agg;0;8.31;0;26;331159372#1;5;5;4.16;24;2.03;9.21;226.98;25.24;16.05;9.01;0.00
0.00;120.00;2min_agg;0;9.07;0;24;331159372#2;0;0;4.54;20;2.18;5.65;130.08;22.04;24.57;5.40;0.00
0.00;120.00;2min_agg;0;33.53;0;12;331159372#4;0;0;11.18;5;5.45;14.03;126.06;2.59;113.48;12.92;84.00
0.00;120.00;2min_agg;0;1.15;0;3;331159372#6;0;0;0.38;3;0.17;1.89;5.66;24.38;0.49;1.69;0.00
0.00;120.00;2min_agg;0;1.22;0;3;331159372#7;0;0;0.41;3;0.16;0.91;2.72;26.07;0.06;0.71;0.00
0.00;120.00;2min_agg;0;0.99;0;3;331159372#7.21;0;0;0.49;3;0.24;7.28;21.84;26.04;0.53;7.09;0.00
0.00;120.00;2min_agg;0;24.94;0;3;331159372#8;0;0;12.47;3;0.24;0.20;0.60;26.06;0.01;0.01;0.00
0.00;120.00;2min_agg;3;0.98;0;3;331159372#9;0;0;0.49;0;0.24;9.58;28.58;25.99;0.75;9.39;0.00
0.00;120.00;2min_agg;0;9.59;0;11;331159373#0;0;0;3.20;10;1.34;3.30;33.95;10.46;21.20;2.92;0.00
0.00;120.00;2min_agg;0;3.85;0;11;331159373#0.23;0;0;1.28;10;0.62;8.41;84.79;22.44;18.61;8.23;0.00
0.00;120.00;2min_agg;0;7.41;0;10;331159373#0.40;0;0;2.47;10;0.86;0.99;9.68;16.06;4.10;0.69;0.00
0.00;120.00;2min_agg;7;2.30;0;10;331159373#1;0;0;1.15;0;0.57;23.34;182.03;28.52;4.25;23.17;0.00
0.00;120.00;2min_agg;0;3.98;12;0;331159373#3;8;8;1.99;9;0.99;30.16;283.36;19.82;87.84;29.97;0.00
0.00;120.00;2min_agg;0;3.63;0;6;331159374;0;0;1.81;6;0.77;2.23;13.36;16.04;5.70;1.95;0.00
0.00;120.00;2min_agg;0;5.14;18;0;331162256#0;10;10;2.57;11;1.28;51.94;735.35;23.03;148.27;51.74;0.00
0.00;120.00;2min_agg;0;3.66;0;11;331162256#1;0;0;1.83;10;0.86;3.25;34.63;25.83;3.02;3.05;0.00
0.00;120.00;2min_agg;0;4.21;0;10;331162256#1.100;1;1;1.40;10;0.60;1.50;15.00;23.12;2.60;1.26;0.00
0.00;120.00;2min_agg;0;23.18;0;10;343227267;1;1;5.80;4;2.85;13.97;125.41;3.58;108.23;13.00;82.00
0.00;120.00;2min_agg;0;5.57;0;10;343227269#1;4;4;1.86;10;0.84;3.88;38.75;16.26;17.31;3.54;0.00
0.00;120.00;2min_agg;0;34.88;0;10;343227269#2;0;0;11.63;10;5.62;13.20;131.98;2.77;117.30;12.63;88.00
0.00;120.00;2min_agg;0;4.20;0;9;343227270#0;0;0;2.10;6;1.03;14.17;126.13;18.00;44.26;13.63;13.00
0.00;120.00;2min_agg;0;1.76;0;3;343227270#2;0;0;0.88;3;0.42;11.94;35.83;14.61;16.35;11.07;0.00
0.00;120.00;2min_agg;1;1.33;0;3;343227271#4;0;0;0.67;0;0.32;12.35;27.23;14.21;13.99;12.06;0.00
0.00;120.00;2min_agg;0;1.40;0;3;343227271#6;3;3;0.70;3;0.34;9.05;27.15;18.39;9.13;8.86;0.00
0.00;120.00;2min_agg;0;1.28;0;3;343227271#7;0;0;1.28;2;0.60;7.02;17.68;17.10;6.68;6.36;0.00
0.00;120.00;2min_agg;3;9.28;12;3;456043498#0;8;8;3.09;9;1.53;12.18;171.83;13.09;91.23;11.94;0.00
0.00;120.00;2min_agg;0;15.99;0;9;456043498#1;1;1;5.33;8;2.60;25.90;231.88;4.86;187.39;24.69;142.00
0.00;120.00;2min_agg;0;2.51;0;6;456043498#3;0;0;0.84;5;0.41;10.56;62.64;20.19;13.40;10.35;0.00
0.00;120.00;2min_agg;1;0.69;0;4;456043498#4;1;1;0.23;0;0.11;16.81;34.43;25.01;1.03;16.61;0.00
